model,accuracy,precission,f1
RIDGE CLASSIFIER,0.7205702595576013,0.7791821561338289,0.7906143214806332
LOGISTIC REGRESSION,0.7857473468865874,0.8617100371747212,0.8449060162218057
PERCEPTRON,0.7079465541490857,0.6788104089219331,0.7582975042969277
PASSIVE AGRESSIVE,0.7625099092187699,0.7828996282527882,0.8167952734882356
LDA,0.7392456207646081,0.8104089219330854,0.8081851528391745
SUPPORT VECTOR MACHINE,0.810492264416315,0.9018587360594795,0.8660318693572429
STOCHASTIC GRADIENT DESCENT,0.7862587904360057,0.900371747211896,0.8512065342981098
GAUSSIAN NAIVE BAYES,0.7276217874952053,0.7137546468401487,0.7803806750781312
BAGGING,0.8261373225930189,0.8817843866171005,0.874025646700329
RANDOM FOREST,0.7746157780334996,0.9189591078066914,0.847298425678761
ADA BOOST,0.8130149597238205,0.8929368029739777,0.8666799797786595
GRADIENT BOOST,0.8119971870604783,0.870631970260223,0.8633263036517478
XBOOST,0.8423078890167497,0.9107806691449815,0.8876148021257426
LGBM CLASSIFIER,0.8448229126710138,0.9234200743494423,0.8909338133466834
MULTILAYER PERCEPTRON,0.7958521928142182,0.8609665427509293,0.850834425792323
